,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
14895,Greece,2017,3,J-Antiinfectives for systemic use,Million US$ at exchange rate,737.8
14896,Greece,2017,3,J-Antiinfectives for systemic use,Million of national currency units,653.1
14897,Greece,2017,3,N02-Analgesics,"Million US$, purchasing power parity",246.7
14898,Greece,2017,3,B-Blood and blood forming organs,Million US$ at exchange rate,1157.5
14899,Greece,2017,3,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",165.7
14900,Greece,2017,3,B-Blood and blood forming organs,"/capita, US$ exchange rate",107.6
14901,Greece,2017,3,B-Blood and blood forming organs,"Million US$, purchasing power parity",1781.9
14902,Greece,2017,3,N02-Analgesics,Million US$ at exchange rate,160.2
14903,Greece,2017,3,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",464.6
14904,Greece,2017,3,B-Blood and blood forming organs,Million of national currency units,1024.6
14905,Greece,2017,3,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",43.2
14906,Greece,2017,3,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",28.1
14907,Greece,2017,3,M-Musculo-skeletal system,Million of national currency units,212.1
14908,Greece,2017,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",24.7
14909,Greece,2017,3,M-Musculo-skeletal system,"Million US$, purchasing power parity",368.9
14910,Greece,2017,3,M-Musculo-skeletal system,Million US$ at exchange rate,239.6
14911,Greece,2017,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,172.3
14912,Greece,2017,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,152.5
14913,Greece,2017,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",16.0
14914,Greece,2017,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",265.3
14915,Greece,2017,3,R-Respiratory system,Million of national currency units,410.4
14916,Greece,2017,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",6.1
14917,Greece,2017,3,R-Respiratory system,"Million US$, purchasing power parity",713.8
14918,Greece,2017,3,R-Respiratory system,Million US$ at exchange rate,463.7
14919,Greece,2017,3,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,42.9
14920,Greece,2017,3,G03-Sex hormones and modulators of the genital system,Million of national currency units,38.0
14921,Greece,2017,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",4.0
14922,Greece,2017,3,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",66.1
14923,Greece,2017,3,N-Nervous system,"/capita, US$ purchasing power parity",104.6
14924,Greece,2017,3,G-Genito urinary system and sex hormones,Million of national currency units,166.8
14925,Greece,2017,3,G-Genito urinary system and sex hormones,Million US$ at exchange rate,188.4
14926,Greece,2017,3,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",290.0
14927,Greece,2017,3,N-Nervous system,Million US$ at exchange rate,730.9
14928,Greece,2017,3,N-Nervous system,Million of national currency units,647.0
14929,Greece,2017,3,N-Nervous system,"/capita, US$ exchange rate",68.0
14930,Greece,2017,3,N-Nervous system,"Million US$, purchasing power parity",1125.1
14931,Greece,2017,3,N06A-Antidepressants,"Million US$, purchasing power parity",173.8
14932,Greece,2017,3,N06A-Antidepressants,Million US$ at exchange rate,112.9
14933,Greece,2017,3,N06A-Antidepressants,Million of national currency units,100.0
14934,Greece,2017,3,N06A-Antidepressants,"/capita, US$ exchange rate",10.5
14935,Greece,2017,3,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",17.5
14936,Greece,2017,3,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",27.0
14937,Greece,2017,3,N06A-Antidepressants,"/capita, US$ purchasing power parity",16.2
14938,Greece,2017,3,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",393.3
14939,Greece,2017,3,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",23.8
14940,Greece,2017,3,J01-Antibacterials for systemic use,Million of national currency units,226.2
14941,Greece,2017,3,J01-Antibacterials for systemic use,Million US$ at exchange rate,255.5
14942,Greece,2017,3,A10-Drugs used in diabetes,"Million US$, purchasing power parity",710.7
14943,Greece,2017,3,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",36.6
14944,Greece,2017,3,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",66.1
14945,Greece,2017,3,A10-Drugs used in diabetes,"/capita, US$ exchange rate",42.9
14946,Greece,2017,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",10.4
14947,Greece,2017,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",20.9
14948,Greece,2017,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",111.6
14949,Greece,2017,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",6.7
14950,Greece,2017,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,146.0
14951,Greece,2017,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,129.2
14952,Greece,2017,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",13.6
14953,Greece,2017,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",224.7
14954,Greece,2017,3,C10-Lipid modifying agents,"/capita, US$ exchange rate",32.8
14955,Greece,2017,3,C10-Lipid modifying agents,Million US$ at exchange rate,352.4
14956,Greece,2017,3,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",50.4
14957,Greece,2017,3,C10-Lipid modifying agents,"Million US$, purchasing power parity",542.4
14958,Greece,2017,3,R-Respiratory system,"/capita, US$ purchasing power parity",66.4
14959,Greece,2017,3,R-Respiratory system,"/capita, US$ exchange rate",43.1
14960,Greece,2017,3,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",34.3
14961,Greece,2017,3,M-Musculo-skeletal system,"/capita, US$ exchange rate",22.3
14962,Greece,2017,3,N05C-Hypnotics and sedatives,Million of national currency units,8.4
14963,Greece,2017,3,N05C-Hypnotics and sedatives,Million US$ at exchange rate,9.5
14964,Greece,2017,3,A10-Drugs used in diabetes,Million US$ at exchange rate,461.7
14965,Greece,2017,3,A10-Drugs used in diabetes,Million of national currency units,408.7
14966,Greece,2017,3,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",1.4
14967,Greece,2017,3,C10-Lipid modifying agents,Million of national currency units,311.9
14968,Greece,2017,3,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",14.6
14969,Greece,2017,3,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",0.9
14970,Greece,2017,3,C-Cardiovascular system,Million US$ at exchange rate,987.0
14971,Greece,2017,3,C-Cardiovascular system,"Million US$, purchasing power parity",1519.4
14972,Greece,2017,3,C-Cardiovascular system,"/capita, US$ exchange rate",91.8
14973,Greece,2017,3,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,334.4
14974,Greece,2017,3,C-Cardiovascular system,Million of national currency units,873.7
14975,Greece,2017,3,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.1
14976,Greece,2017,3,C03-Diuretics,"/capita, US$ purchasing power parity",5.6
14977,Greece,2017,3,C-Cardiovascular system,"/capita, US$ purchasing power parity",141.3
14978,Greece,2017,3,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.1
14979,Greece,2017,3,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",13.2
14980,Greece,2017,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.8
14981,Greece,2017,3,C03-Diuretics,"/capita, US$ exchange rate",3.6
14982,Greece,2017,3,A-Alimentary tract and metabolism,Million of national currency units,760.9
14983,Greece,2017,3,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,8.6
14984,Greece,2017,3,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",581.5
14985,Greece,2017,3,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,377.7
14986,Greece,2017,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",1.2
14987,Greece,2017,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",54.1
14988,Greece,2017,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",35.1
14989,Greece,2017,3,A-Alimentary tract and metabolism,Million US$ at exchange rate,859.6
14990,Greece,2017,3,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",1323.2
14991,Greece,2017,3,C07-Beta blocking agents,Million of national currency units,57.6
14992,Greece,2017,3,C07-Beta blocking agents,"Million US$, purchasing power parity",100.1
14993,Greece,2017,3,C02-Antihypertensives,Million of national currency units,24.9
14994,Greece,2017,3,C01A-Cardiac glycosides,Million of national currency units,0.6
14995,Greece,2017,3,C01A-Cardiac glycosides,Million US$ at exchange rate,0.7
14996,Greece,2017,3,C07-Beta blocking agents,Million US$ at exchange rate,65.0
14997,Greece,2017,3,C01A-Cardiac glycosides,"Million US$, purchasing power parity",1.0
14998,Greece,2017,3,A02A-Antacids,"/capita, US$ purchasing power parity",0.7
14999,Greece,2017,3,C02-Antihypertensives,"Million US$, purchasing power parity",43.2
15000,Greece,2017,3,C02-Antihypertensives,Million US$ at exchange rate,28.1
15001,Greece,2017,3,C02-Antihypertensives,"/capita, US$ purchasing power parity",4.0
15002,Greece,2017,3,C02-Antihypertensives,"/capita, US$ exchange rate",2.6
15003,Greece,2017,3,A02A-Antacids,Million US$ at exchange rate,5.0
15004,Greece,2017,3,A02A-Antacids,Million of national currency units,4.4
15005,Greece,2017,3,A02A-Antacids,"Million US$, purchasing power parity",7.6
15006,Greece,2017,3,A02A-Antacids,"/capita, US$ exchange rate",0.5
15007,Greece,2017,3,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",79.9
15008,Greece,2017,3,C03-Diuretics,"Million US$, purchasing power parity",60.3
15009,Greece,2017,3,C03-Diuretics,Million US$ at exchange rate,39.2
15010,Greece,2017,3,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",7.9
15011,Greece,2017,3,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,7.6
15012,Greece,2017,3,C07-Beta blocking agents,"/capita, US$ exchange rate",6.0
15013,Greece,2017,3,C03-Diuretics,Million of national currency units,34.7
15014,Greece,2017,3,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",123.0
15015,Greece,2017,3,C07-Beta blocking agents,"/capita, US$ purchasing power parity",9.3
15016,Greece,2017,3,C08-Calcium channel blockers,Million of national currency units,49.1
15017,Greece,2017,3,C08-Calcium channel blockers,Million US$ at exchange rate,55.5
15018,Greece,2017,3,C08-Calcium channel blockers,"Million US$, purchasing power parity",85.5
15019,Greece,2017,3,C08-Calcium channel blockers,"/capita, US$ exchange rate",5.2
15020,Hungary,2017,12,A-Alimentary tract and metabolism,Million of national currency units,78667.7
15021,Hungary,2017,12,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",14.4
15022,Hungary,2017,12,C10-Lipid modifying agents,% of total sales,3.9
15023,Hungary,2017,12,A10-Drugs used in diabetes,Million US$ at exchange rate,182.3
15024,Hungary,2017,12,A10-Drugs used in diabetes,"Million US$, purchasing power parity",367.8
15025,Hungary,2017,12,A10-Drugs used in diabetes,Million of national currency units,50037.2
15026,Hungary,2017,12,C03-Diuretics,"/capita, US$ exchange rate",1.7
15027,Hungary,2017,12,C03-Diuretics,"/capita, US$ purchasing power parity",3.4
15028,Hungary,2017,12,C03-Diuretics,% of total sales,0.9
15029,Hungary,2017,12,C03-Diuretics,Million US$ at exchange rate,16.6
15030,Hungary,2017,12,C03-Diuretics,"Million US$, purchasing power parity",33.4
15031,Hungary,2017,12,C10-Lipid modifying agents,"Million US$, purchasing power parity",140.7
15032,Hungary,2017,12,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",578.3
15033,Hungary,2017,12,A-Alimentary tract and metabolism,Million US$ at exchange rate,286.7
15034,Hungary,2017,12,C10-Lipid modifying agents,"/capita, US$ exchange rate",7.1
15035,Hungary,2017,12,N06A-Antidepressants,% of total sales,1.6
15036,Hungary,2017,12,C08-Calcium channel blockers,Million of national currency units,2649.1
15037,Hungary,2017,12,N-Nervous system,"/capita, US$ purchasing power parity",44.9
15038,Hungary,2017,12,C08-Calcium channel blockers,"Million US$, purchasing power parity",19.5
15039,Hungary,2017,12,C08-Calcium channel blockers,Million US$ at exchange rate,9.7
15040,Hungary,2017,12,N06A-Antidepressants,"/capita, US$ purchasing power parity",6.0
15041,Hungary,2017,12,N06A-Antidepressants,Million US$ at exchange rate,29.2
15042,Hungary,2017,12,N06A-Antidepressants,Million of national currency units,8013.6
15043,Hungary,2017,12,N06A-Antidepressants,"/capita, US$ exchange rate",3.0
15044,Hungary,2017,12,N06A-Antidepressants,"Million US$, purchasing power parity",58.9
15045,Hungary,2017,12,A10-Drugs used in diabetes,% of total sales,10.1
15046,Hungary,2017,12,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.1
15047,Hungary,2017,12,C01A-Cardiac glycosides,% of total sales,0.0
15048,Hungary,2017,12,A10-Drugs used in diabetes,"/capita, US$ exchange rate",18.6
15049,Hungary,2017,12,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",37.6
15050,Hungary,2017,12,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.3
15051,Hungary,2017,12,N-Nervous system,% of total sales,12.1
15052,Hungary,2017,12,C08-Calcium channel blockers,"/capita, US$ exchange rate",1.0
15053,Hungary,2017,12,C08-Calcium channel blockers,% of total sales,0.5
15054,Hungary,2017,12,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",2.0
15055,Hungary,2017,12,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",10.1
15056,Hungary,2017,12,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.5
15057,Hungary,2017,12,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,1380.3
15058,Hungary,2017,12,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,5.0
15059,Hungary,2017,12,A02A-Antacids,"/capita, US$ exchange rate",0.0
15060,Hungary,2017,12,A02A-Antacids,"Million US$, purchasing power parity",0.0
15061,Hungary,2017,12,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",1.0
15062,Hungary,2017,12,A02A-Antacids,"/capita, US$ purchasing power parity",0.0
15063,Hungary,2017,12,A02A-Antacids,% of total sales,0.0
15064,Hungary,2017,12,A-Alimentary tract and metabolism,% of total sales,16.0
15065,Hungary,2017,12,R-Respiratory system,"/capita, US$ exchange rate",12.8
15066,Hungary,2017,12,R-Respiratory system,"Million US$, purchasing power parity",253.6
15067,Hungary,2017,12,N02-Analgesics,Million of national currency units,5346.6
15068,Hungary,2017,12,R-Respiratory system,Million of national currency units,34496.8
15069,Hungary,2017,12,R-Respiratory system,Million US$ at exchange rate,125.7
15070,Hungary,2017,12,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",59.1
15071,Hungary,2017,12,N02-Analgesics,Million US$ at exchange rate,19.5
15072,Hungary,2017,12,R-Respiratory system,"/capita, US$ purchasing power parity",25.9
